name,value
Vermont,35.241502683363144
Maryland,32.075471698113205
Hawaii,30.909090909090914
Massachusetts,29.01818181818182
California,27.79973649538867
New York,24.62627852084972
Illinois,20.588235294117645
Washington,16.44374508261212
Rhode Island,16.11479028697572
Delaware,15.737704918032788
New Jersey,15.5500921942225
Connecticut,13.295880149812728
Oregon,12.189485846331605
Maine,10.387984981226532
New Mexico,10.153846153846153
Virginia,8.935076065995291
Wisconsin,8.62255965292842
Michigan,7.639107198994031
Minnesota,7.511045655375552
New Hampshire,6.536585365853662
Pennsylvania,6.232709519934903
Colorado,5.634604439385318
Florida,2.5261860751694423
North Carolina,1.774470520892961
Nevada,1.1211959423384923
Ohio,0.8300252616383976
Iowa,-0.7807807807807863
Arizona,-2.0034344590726914
Georgia,-3.252254714402838
South Carolina,-5.840957072484166
Missouri,-8.908045977011495
Texas,-9.817813765182182
Alaska,-10.13431013431014
Mississippi,-10.480349344978169
Indiana,-12.611464968152866
Utah,-13.455657492354742
Kansas,-13.934929404542673
Louisiana,-15.458937198067632
Tennessee,-16.694772344013494
Arkansas,-18.016194331983804
Montana,-18.076923076923077
South Dakota,-18.406072106261856
Alabama,-20.039100684261978
Nebraska,-20.56555269922879
Kentucky,-21.031746031746035
North Dakota,-23.954372623574145
West Virginia,-25.868055555555554
Idaho,-26.69584245076586
Oklahoma,-27.20450281425891
Wyoming,-41.68564920273348
